Sumber,Rujuk,Keterangan
ISO 9001,pengurusan,"Pendekatan proses melibatkan pentakrifan dan pengurusan proses yang sistematik, dan
saling tindaknya, untuk mencapai hasil yang dimaksudkan selaras dengan dasar kualiti dan
hala tuju strategik organisasi. Pengurusan proses dan sistem secara keseluruhan boleh
dicapai dengan menggunakan kitaran PDCA (lihat 0.3.2) dengan tumpuan keseluruhan
terhadap pemikiran berasaskan risiko (lihat 0.3.3) yang bertujuan untuk memanfaatkan
peluang dan mencegah keputusan yang tidak diingini."
ISO 9001,pengurusan,Pemakaian pendekatan proses dalam sistem pengurusan kualiti membolehkan:
ISO 9001,prestasi,c) pencapaian prestasi proses yang berkesan;
ISO 9001,dasar,d) penambahbaikan proses berdasarkan penilaian data dan maklumat.
ISO 9001,penambahbaikan,d) penambahbaikan proses berdasarkan penilaian data dan maklumat.
ISO 9001,kawalan,"Rajah 1 memberi gambaran skematik proses dan menunjukkan saling tindak unsurnya.
Pemantauan dan pengukuran titik semak, yang diperlukan untuk kawalan, adalah khusus
untuk setiap proses dan berubah, bergantung pada risiko yang berkaitan."
ISO 9001,ukur,"Rajah 1 memberi gambaran skematik proses dan menunjukkan saling tindak unsurnya.
Pemantauan dan pengukuran titik semak, yang diperlukan untuk kawalan, adalah khusus
untuk setiap proses dan berubah, bergantung pada risiko yang berkaitan."
ISO 9001,pengurusan,"Pemikiran berasaskan risiko (lihat Klausa A.4) adalah penting bagi mencapai sistem
pengurusan kualiti yang berkesan. Konsep pemikiran berasaskan risiko yang tersirat dalam
edisi terdahulu Standard Antarabangsa ini termasuk, sebagai contoh, menjalankan tindakan
pencegahan untuk menghapuskan ketakakuran yang mungkin berlaku, menganalisis apa-apa
ketakakuran yang berlaku, dan mengambil tindakan untuk mencegah berulangnya
ketakakuran, sesuai dengan kesan daripada ketakakuran itu."
ISO 9001,ketakakuran,"Pemikiran berasaskan risiko (lihat Klausa A.4) adalah penting bagi mencapai sistem
pengurusan kualiti yang berkesan. Konsep pemikiran berasaskan risiko yang tersirat dalam
edisi terdahulu Standard Antarabangsa ini termasuk, sebagai contoh, menjalankan tindakan
pencegahan untuk menghapuskan ketakakuran yang mungkin berlaku, menganalisis apa-apa
ketakakuran yang berlaku, dan mengambil tindakan untuk mencegah berulangnya
ketakakuran, sesuai dengan kesan daripada ketakakuran itu."
ISO 9001,pengurusan,"Sesuatu organisasi perlu merancang dan melaksanakan tindakan untuk menangani risiko dan
peluang supaya akur dengan keperluan Standard Antarabangsa ini. Penanganan kedua-dua
risiko dan peluang dapat menetapkan asas bagi meningkatkan keberkesanan sistem
pengurusan kualiti, mencapai hasil yang lebih baik dan mencegah kesan negatif."
ISO 9001,pelanggan,"Peluang boleh muncul sebagai hasil daripada keadaan yang sesuai untuk mencapai hasil
yang dimaksudkan, sebagai contoh, suatu keadaan yang membolehkan organisasi menarik
pelanggan, membangunkan produk dan perkhidmatan baharu, mengurangkan pembaziran
atau menambah baik produktiviti. Tindakan untuk menangani peluang boleh juga termasuk
pertimbangan terhadap risiko yang berkaitan. Risiko ialah kesan ketakpastian, dan apa-apa
ketakpastian itu boleh mempunyai kesan positif atau negatif. Sisihan positif yang timbul
daripada risiko boleh memberi peluang, tetapi bukan semua kesan positif risiko menghasilkan
peluang."
ISO 9001,pengurusan,0.4 Hubungan dengan standard sistem pengurusan yang lain
ISO 9001,pengurusan,"Standard Antarabangsa ini menggunakan rangka kerja yang dibangunkan oleh ISO untuk
menambah baik keselarasan antara Standard Antarabangsa bagi sistem pengurusannya
(lihat Klausa A.1)."
ISO 9001,pengurusan,"Standard Antarabangsa ini membolehkan sesuatu organisasi menggunakan pendekatan
proses, ditambah pula dengan kitaran PDCA dan pemikiran berasaskan risiko, untuk
menyelaraskan atau mengintegrasikan sistem pengurusan kualitinya dengan keperluan
standard sistem pengurusan yang lain."
ISO 9001,pengurusan,"Lampiran B menyediakan perincian tentang Standard Antarabangsa pengurusan kualiti dan
sistem pengurusan kualiti lain yang telah dibangunkan oleh ISO/TC 176."
ISO 9001,pengurusan,"Standard Antarabangsa ini tidak termasuk keperluan khusus untuk sistem pengurusan lain,
seperti pengurusan alam sekitar, pengurusan keselamatan dan kesihatan pekerjaan, atau
pengurusan kewangan."
ISO 9001,dasar,"Standard sistem pengurusan kualiti sektor khusus yang berdasarkan keperluan Standard
Antarabangsa ini telah dibangunkan untuk beberapa sektor. Sesetengah Standard ini
menetapkan keperluan sistem pengurusan kualiti tambahan, manakala yang lainnya terhad
kepada menyediakan panduan terhadap pemakaian Standard Antarabangsa ini dalam sektor
tertentu."
ISO 9001,pengurusan,"Standard sistem pengurusan kualiti sektor khusus yang berdasarkan keperluan Standard
Antarabangsa ini telah dibangunkan untuk beberapa sektor. Sesetengah Standard ini
menetapkan keperluan sistem pengurusan kualiti tambahan, manakala yang lainnya terhad
kepada menyediakan panduan terhadap pemakaian Standard Antarabangsa ini dalam sektor
tertentu."
ISO 9001,pengurusan,"
 Sistem pengurusan kualiti - Keperluan"
ISO 9001,pengurusan,"Standard Antarabangsa ini menetapkan keperluan bagi satu sistem pengurusan kualiti
apabila sesuatu organisasi:"
ISO 9001,pelanggan,"a) perlu menunjukkan keupayaannya menyediakan secara tekal produk dan perkhidmatan
yang memenuhi keperluan pelanggan serta keperluan berkanun dan peraturan yang
diguna pakai, dan"
ISO 9001,pelanggan,"b) mempunyai tujuan untuk meningkatkan kepuasan pelanggan melalui pemakaian sistem
yang berkesan, termasuk proses penambahbaikan untuk sistem itu dan jaminan
keakuran terhadap keperluan pelanggan serta keperluan berkanun dan peraturan yang
diguna pakai."
ISO 9001,penambahbaikan,"b) mempunyai tujuan untuk meningkatkan kepuasan pelanggan melalui pemakaian sistem
yang berkesan, termasuk proses penambahbaikan untuk sistem itu dan jaminan
keakuran terhadap keperluan pelanggan serta keperluan berkanun dan peraturan yang
diguna pakai."
ISO 9001,pelanggan,"NOTA 1. Dalam Standard Antarabangsa ini, istilah ""produk"" atau ""perkhidmatan"" hanya diguna pakai
kepada produk dan perkhidmatan yang dimaksudkan untuk, atau diperlukan oleh, pelanggan."
ISO 9001,pengurusan,"MS ISO 9000 (BM), Sistem pengurusan kualiti - Asas dan kosa kata"
ISO 9001,pengurusan,"Organisasi hendaklah menentukan isu luaran dan dalaman yang relevan dengan tujuan dan
haluan strategiknya serta yang memberi kesan kepada kebolehannya untuk mencapai hasil
yang dimaksudkan daripada sistem pengurusan kualitinya."
ISO 9001,prestasi,"NOTA 3. Memahami konteks dalaman boleh dipermudahkan dengan mempertimbangkan isu yang
berkaitan dengan nilai, budaya, pengetahuan dan prestasi organisasi."
ISO 9001,pelanggan,"Disebabkan oleh kesan atau kesan yang mungkin wujud terhadap keupayaan organisasi
untuk menyediakan secara tekal produk dan perkhidmatan yang memenuhi keperluan
pelanggan, serta keperluan berkanun dan peraturan yang diguna pakai, organisasi hendaklah
menentukan:"
ISO 9001,pengurusan,a) pihak yang berkepentingan yang relevan dengan sistem pengurusan kualiti;
ISO 9001,pengurusan,b) keperluan pihak yang berkepentingan ini yang relevan dengan sistem pengurusan kualiti.
ISO 9001,pengurusan,4.3 Menentukan skop sistem pengurusan kualiti
ISO 9001,pengurusan,"Organisasi hendaklah menentukan sempadan dan kesesuaian sistem pengurusan kualiti
untuk mewujudkan skopnya."
ISO 9001,pengurusan,"Organisasi hendaklah mengguna pakai semua keperluan Standard Antarabangsa ini jika ia
terpakai dalam skop yang ditetapkan dalam sistem pengurusan kualitinya."
ISO 9001,pengurusan,"Skop sistem pengurusan kualiti organisasi hendaklah tersedia dan diselenggarakan sebagai
maklumat didokumentasikan. Skop ini hendaklah menyatakan jenis produk dan perkhidmatan
yang diliputinya, dan memberikan justifikasi bagi apa-apa keperluan Standard Antarabangsa
ini yang ditentukan oleh organisasi sebagai tidak terpakai untuk skop sistem pengurusan
kualitinya."
ISO 9001,tanggungjawab,"Keakuran terhadap Standard Antarabangsa ini hanya boleh diakui, jika keperluan ditentukan
sebagai tidak terpakai, tidak menjejaskan keupayaan atau tanggungjawab organisasi bagi
memastikan keakuran produk dan perkhidmatannya dan peningkatan kepuasan pelanggan."
ISO 9001,pelanggan,"Keakuran terhadap Standard Antarabangsa ini hanya boleh diakui, jika keperluan ditentukan
sebagai tidak terpakai, tidak menjejaskan keupayaan atau tanggungjawab organisasi bagi
memastikan keakuran produk dan perkhidmatannya dan peningkatan kepuasan pelanggan."
ISO 9001,pengurusan,4.4 Sistem pengurusan kualiti dan prosesnya
ISO 9001,pengurusan,"4.4.1 Organisasi hendaklah mewujudkan, melaksanakan, menyelenggarakan dan 
menambah baik secara berterusan sistem pengurusan kualiti, termasuk proses yang
diperlukan dan saling tindaknya, selaras dengan keperluan Standard Antarabangsa ini."
ISO 9001,pengurusan,"Organisasi hendaklah menentukan proses yang diperlukan untuk sistem pengurusan kualiti
dan pemakaiannya dalam seluruh organisasi, dan hendaklah:"
ISO 9001,kawalan,"c) menentukan dan mengguna pakai kriteria dan kaedah (termasuk pemantauan,
pengukuran dan petunjuk prestasi yang berkaitan) yang diperlukan bagi memastikan
keberkesanan operasi dan kawalan proses ini;"
ISO 9001,prestasi,"c) menentukan dan mengguna pakai kriteria dan kaedah (termasuk pemantauan,
pengukuran dan petunjuk prestasi yang berkaitan) yang diperlukan bagi memastikan
keberkesanan operasi dan kawalan proses ini;"
ISO 9001,ukur,"c) menentukan dan mengguna pakai kriteria dan kaedah (termasuk pemantauan,
pengukuran dan petunjuk prestasi yang berkaitan) yang diperlukan bagi memastikan
keberkesanan operasi dan kawalan proses ini;"
ISO 9001,tanggungjawab,e) menetapkan tanggungjawab dan bidang kuasa untuk proses ini;
ISO 9001,pengurusan,h) menambah baik proses dan sistem pengurusan kualiti.
ISO 9001,komitmen,5.1 Kepimpinan dan komitmen
ISO 9001,pengurusan,"Pengurusan atasan hendaklah menunjukkan kepimpinan dan komitmen tentang sistem
pengurusan kualiti dengan:"
ISO 9001,komitmen,"Pengurusan atasan hendaklah menunjukkan kepimpinan dan komitmen tentang sistem
pengurusan kualiti dengan:"
ISO 9001,pengurusan,a) mengambil kebertanggungjawaban terhadap keberkesanan sistem pengurusan kualiti;
ISO 9001,tanggungjawab,a) mengambil kebertanggungjawaban terhadap keberkesanan sistem pengurusan kualiti;
ISO 9001,objektif,"b) memastikan dasar kualiti dan objektif kualiti diwujudkan untuk sistem pengurusan kualiti
dan adalah bersesuaian dengan konteks dan hala tuju strategik organisasi;"
ISO 9001,dasar,"b) memastikan dasar kualiti dan objektif kualiti diwujudkan untuk sistem pengurusan kualiti
dan adalah bersesuaian dengan konteks dan hala tuju strategik organisasi;"
ISO 9001,pengurusan,"b) memastikan dasar kualiti dan objektif kualiti diwujudkan untuk sistem pengurusan kualiti
dan adalah bersesuaian dengan konteks dan hala tuju strategik organisasi;"
ISO 9001,pengurusan,"c) memastikan integrasi keperluan sistem pengurusan kualiti ke dalam proses perniagaan
organisasi;"
ISO 9001,pengurusan,e) memastikan sumber yang diperlukan untuk sistem pengurusan kualiti adalah tersedia;
ISO 9001,pengurusan,"f) mengkomunikasikan pentingnya pengurusan kualiti yang berkesan dan keakuran
terhadap keperluan sistem pengurusan kualiti;"
ISO 9001,komunikasi,"f) mengkomunikasikan pentingnya pengurusan kualiti yang berkesan dan keakuran
terhadap keperluan sistem pengurusan kualiti;"
ISO 9001,pengurusan,g) memastikan bahawa sistem pengurusan kualiti mencapai hasil yang dimaksudkan;
ISO 9001,pengurusan,"h) melibatkan, mengarah dan menyokong pekerja supaya menyumbang kepada
keberkesanan sistem pengurusan kualiti;"
ISO 9001,penambahbaikan,i) menggalakkan penambahbaikan;
ISO 9001,pengurusan,"j) menyokong peranan pengurusan lain yang relevan untuk menunjukkan kepimpinannya,
seperti yang terpakai dalam bidang tanggungjawabnya."
ISO 9001,tanggungjawab,"j) menyokong peranan pengurusan lain yang relevan untuk menunjukkan kepimpinannya,
seperti yang terpakai dalam bidang tanggungjawabnya."
ISO 9001,pelanggan,5.1.2 Fokus kepada pelanggan
ISO 9001,pengurusan,"Pengurusan atasan hendaklah menunjukkan kepimpinan dan komitmen berkaitan fokus
kepada pelanggan dengan memastikan bahawa:"
ISO 9001,komitmen,"Pengurusan atasan hendaklah menunjukkan kepimpinan dan komitmen berkaitan fokus
kepada pelanggan dengan memastikan bahawa:"
ISO 9001,pelanggan,"Pengurusan atasan hendaklah menunjukkan kepimpinan dan komitmen berkaitan fokus
kepada pelanggan dengan memastikan bahawa:"
ISO 9001,pelanggan,"a) keperluan pelanggan, serta keperluan berkanun dan peraturan yang terpakai ditentukan,
difahami serta dipenuhi secara tekal;"
ISO 9001,pelanggan,"b) risiko dan peluang yang boleh memberi kesan kepada keakuran produk dan
perkhidmatan dan keupayaan untuk meningkatkan kepuasan pelanggan ditentukan dan
dinyatakan;"
ISO 9001,pelanggan,c) fokus untuk meningkatkan kepuasan pelanggan dikekalkan.
ISO 9001,dasar,5.2 Dasar
ISO 9001,dasar,5.2.1 Membangunkan dasar kualiti
ISO 9001,dasar,"Pengurusan atasan hendaklah mewujudkan, melaksanakan dan menyelenggarakan dasar
kualiti yang:"
ISO 9001,pengurusan,"Pengurusan atasan hendaklah mewujudkan, melaksanakan dan menyelenggarakan dasar
kualiti yang:"
ISO 9001,objektif,b) menyediakan rangka kerja untuk menetapkan objektif kualiti;
ISO 9001,komitmen,c) mengandungi komitmen untuk memenuhi keperluan berkenaan;
ISO 9001,pengurusan,"d) mengandungi komitmen untuk menambah baik secara berterusan sistem pengurusan
kualiti."
ISO 9001,komitmen,"d) mengandungi komitmen untuk menambah baik secara berterusan sistem pengurusan
kualiti."
ISO 9001,dasar,5.2.2 Mengkomunikasikan dasar kualiti
ISO 9001,komunikasi,5.2.2 Mengkomunikasikan dasar kualiti
ISO 9001,dasar,Dasar kualiti hendaklah:
ISO 9001,komunikasi,"b) dikomunikasikan, difahami dan diguna pakai dalam organisasi;"
ISO 9001,tanggungjawab,"5.3 Peranan, tanggungjawab dan bidang kuasa organisasi"
ISO 9001,pengurusan,"Pengurusan atasan hendaklah memastikan bahawa tanggungjawab dan bidang kuasa bagi
peranan yang relevan ditetapkan, dikomunikasikan dan difahami dalam organisasi itu."
ISO 9001,komunikasi,"Pengurusan atasan hendaklah memastikan bahawa tanggungjawab dan bidang kuasa bagi
peranan yang relevan ditetapkan, dikomunikasikan dan difahami dalam organisasi itu."
ISO 9001,tanggungjawab,"Pengurusan atasan hendaklah memastikan bahawa tanggungjawab dan bidang kuasa bagi
peranan yang relevan ditetapkan, dikomunikasikan dan difahami dalam organisasi itu."
ISO 9001,pengurusan,Pengurusan atasan hendaklah menetapkan tanggungjawab dan bidang kuasa bagi:
ISO 9001,tanggungjawab,Pengurusan atasan hendaklah menetapkan tanggungjawab dan bidang kuasa bagi:
ISO 9001,pengurusan,"a) memastikan sistem pengurusan kualiti akur terhadap keperluan Standard Antarabangsa
ini;"
ISO 9001,pengurusan,"c) melaporkan prestasi sistem pengurusan kualiti dan peluang untuk penambahbaikan (lihat
10.1), khususnya kepada pengurusan atasan;"
ISO 9001,prestasi,"c) melaporkan prestasi sistem pengurusan kualiti dan peluang untuk penambahbaikan (lihat
10.1), khususnya kepada pengurusan atasan;"
ISO 9001,penambahbaikan,"c) melaporkan prestasi sistem pengurusan kualiti dan peluang untuk penambahbaikan (lihat
10.1), khususnya kepada pengurusan atasan;"
ISO 9001,pelanggan,d) memastikan penggalakan bagi fokus terhadap pelanggan dalam seluruh organisasi;
ISO 9001,pengurusan,"e) memastikan integriti sistem pengurusan kualiti dikekalkan apabila perubahan sistem
pengurusan kualiti dirancang dan dilaksanakan."
ISO 9001,pengurusan,"6.1.1 Apabila merancang untuk sistem pengurusan kualiti, organisasi hendaklah
mempertimbangkan isu yang disebutkan dalam 4.1 dan keperluan yang disebutkan dalam 4.
dan menentukan risiko dan peluang yang perlu dinyatakan untuk:"
ISO 9001,pengurusan,"a) memberi jaminan bahawa sistem pengurusan kualiti boleh mencapai hasil yang
dimaksudkan;"
ISO 9001,penambahbaikan,d) mencapai penambahbaikan.
ISO 9001,pengurusan,"1) mengintegrasikan, dan melaksanakan tindakan itu ke dalam proses sistem
pengurusan kualiti (lihat 4.4);"
ISO 9001,dasar,"NOTA 1. Pilihan untuk menyatakan risiko boleh termasuk mengelakkan risiko, mengambil risiko untuk
mengejar peluang, menghapuskan punca risiko, mengubah kemungkinan atau akibat, berkongsi risiko,
atau mengekalkan risiko berdasarkan keputusan bermaklumat."
ISO 9001,pelanggan,"NOTA 2. Peluang boleh membawa kepada penerimagunaan amalan baharu, pelancaran produk
baharu, pembukaan pasaran baharu, menangani pelanggan baharu, membina perkongsian,
menggunakan teknologi baharu, dan kemungkinan lain yang diingini dan berdaya maju bagi menangani
keperluan organisasi atau pelanggannya."
ISO 9001,objektif,6.2 Objektif kualiti dan perancangan untuk mencapainya
ISO 9001,objektif,"6.2.1 Organisasi hendaklah mewujudkan objektif kualiti pada fungsi, aras dan proses yang relevan yang diperlukan untuk sistem pengurusan kualiti"
ISO 9001,pengurusan,"6.2.1 Organisasi hendaklah mewujudkan objektif kualiti pada fungsi, aras dan proses yang relevan yang diperlukan untuk sistem pengurusan kualiti"
ISO 9001,objektif,Objektif kualiti hendaklah:
ISO 9001,dasar,a) tekal dengan dasar kualiti;
ISO 9001,ukur,b) boleh diukur;
ISO 9001,pelanggan,"d) relevan dengan keakuran produk dan perkhidmatan, dan peningkatan kepuasan
pelanggan;"
ISO 9001,komunikasi,f) dikomunikasikan;
ISO 9001,objektif,Organisasi hendaklah menyelenggara maklumat didokumentasikan tentang objektif kualiti.
ISO 9001,objektif,"6.2.2 Apabila merancang cara untuk mencapai objektif kualiti, organisasi hendaklah menentukan:"
ISO 9001,tanggungjawab,c) siapa yang bertanggungjawab;
ISO 9001,pengurusan,"Apabila organisasi menentukan keperluan untuk mengubah sistem pengurusan kualiti,
perubahan itu hendaklah dilaksanakan dengan cara yang terancang (lihat 4.4)."
ISO 9001,pengurusan,b) integriti sistem pengurusan kualiti;
ISO 9001,tanggungjawab,d) pengagihan atau pengagihan semula tanggungjawab dan bidang kuasa.
ISO 9001,pengurusan,"Organisasi hendaklah menentukan dan menyediakan sumber yang diperlukan bagi
mewujudkan, melaksanakan, menyelenggarakan, dan menambah baik secara berterusan
sistem pengurusan kualiti."
ISO 9001,kawalan,"Organisasi hendaklah menentukan dan menyediakan modal insan yang diperlukan untuk
pelaksanaan sistem pengurusan kualiti yang berkesan dan untuk operasi dan kawalan
prosesnya."
ISO 9001,pengurusan,"Organisasi hendaklah menentukan dan menyediakan modal insan yang diperlukan untuk
pelaksanaan sistem pengurusan kualiti yang berkesan dan untuk operasi dan kawalan
prosesnya."
ISO 9001,komunikasi,d) teknologi maklumat dan komunikasi.
ISO 9001,ukur,7.1.5 Sumber pemantauan dan pengukuran
