Tajuk Perolehan,PTJ,Tarikh Iklan,Tarikh Tutup,Tempoh Berbaki (Hari),Taklimat / Lawatan Tapak,Tindakan
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON KAKUS",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON SUNGAI KAKUS, SARAWAK",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON BERA, PAHANG",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON PUSA, SARAWAK",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
Pembekalan Dan Penghantaran Mesin Pemprosesan Produk Makanan Bagi Pelaksanaan Projek Geran Pemadanan Change Upgrade Product (CUP) Tahun 2022 Jabatan Pertanian Sabah,PEJABAT PERTANIAN SABAH,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
"TENDER PEMBEKALAN 10 UNIT ULTRA LOW TEMPERATURE FREEZER -80°C (UPRIGHT), 1 UNIT LOW TEMPERATURE FREEZER -20°C (UPRIGHT), 
3 UNIT LOW TEMPERATURE FREEZER -30°C TO -40°C (CHEST), DAN 4 UNIT BLOOD REFRIGERATOR 2-6°C DI PUSAT DARAH NEGARA BAGI TAHUN 2022",PUSAT DARAH NEGARA PEJABAT PENGARAH UNIT PENTADBIRAN,09/07/2022 12:00 PM,01/08/2022 12:00 PM,20,Tidak,ui-button
MEMBEKAL DAN MENGHANTAR BAKUL MAKANAN PROGRAM PEMULIHAN KANAK -KANAK KEKURANGAN ZAT MAKANAN KE KLINIK KESIHATAN / KLINIK DESA DI BAWAH PEJABAT KESIHATAN KAWASAN KOTA KINABALU BAGI TEMPOH TIGA (3) TAHUN,JKN SABAH PEJ KES KAW K.KINABALU UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
"SEBUT HARGA MEMBEKAL, MENGHANTAR DAN MEMASANG PERABOT KE FASILITI PEJABAT KESIHATAN KAWASAN PENAMPANG BAGI TAHUN 2022",JKN SABAH PEJ KES KAW PENAMPANG UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN,09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJITAULIAH LIMA (5) UNIT 'QUEUE MANAGEMENT SYSTEM' (QMS) DI FASILITI PEJABAT KESIHATAN KAWASAN PENAMPANG",JKN SABAH PEJ KES KAW PENAMPANG UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJITAULIAH SEMBILAN (9) UNIT FINGERPRINT ATTENDANCE MACHINE DI FASILITI PEJABAT KESIHATAN KAWASAN PENAMPANG",JKN SABAH PEJ KES KAW PENAMPANG UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN,09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
"SEBUTHARGA PERKHIDMATAN MERANGKA, MENULIS, MEREKA BENTUK, MENERBITKAN DAN MENCETAK BUKU GEOTAPAK LENGGONG GEOPARK",JABATAN & GEOSAINS NEGERI PERAK,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
KURSUS PENINGKATAN KEMHIRAN: PRINCIPLES OF METALLURGY UNTUK TENAGA PENGAJAR KOLEJ VOKASIONAL PROGRAM TEKNOLOGI KIMPALAN TAHUN 2022,KOLEJ VOKASIONAL BATU PAHAT,09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
PEMBAIKAN SELENGGARAAN UNDERWATER HULL SERTA PERALATAN SOKONGAN RUTIN AMP BOT HIDROGRAFI 2 - SH/BB2/REQ/H/16/22-4,MARKAS WILAYAH LAUT 2,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
Sebut Harga Perkhidmatan Penyewaan Dan Selenggara 2 Unit Mesin Penyalin Di Kem Wawasan Negara Besut Dan Pejabat PTJ Besut Bagi Tempoh 36 Bulan,INSTITUT PEMBANGUNAN KECEMERLANGAN KEPIMPINAN / INSTITUTE OF LEADERSHIP EXCELLENCE AND DEVELOPMENT,09/07/2022 12:00 PM,18/07/2022 12:00 PM,06,Tidak,ui-button
Sebut Harga Perkhidmatan Penyewaan Dan Selenggara 2 Unit Mesin Penyalin Di Kem Wawasan Negara Ulu Kenas Dan Pejabat PTJ Ulu Kenas Bagi Tempoh 36 Bulan,INSTITUT PEMBANGUNAN KECEMERLANGAN KEPIMPINAN / INSTITUTE OF LEADERSHIP EXCELLENCE AND DEVELOPMENT,09/07/2022 12:00 PM,18/07/2022 12:00 PM,06,Tidak,ui-button
PEMBAIKAN UNDERWATER HULL PLATING DETERIORATED NO SH 047/22 KD GANYANG,MARKAS WILAYAH LAUT 1 (MWL 1),09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON KANIBONGAN, SABAH",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON KALABAKAN, SABAH",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON SPAOH, SARAWAK",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON KABONG, SARAWAK",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON KAKUS",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON SUNGAI KAKUS, SARAWAK",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON BERA, PAHANG",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON PUSA, SARAWAK",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
Pembekalan Dan Penghantaran Mesin Pemprosesan Produk Makanan Bagi Pelaksanaan Projek Geran Pemadanan Change Upgrade Product (CUP) Tahun 2022 Jabatan Pertanian Sabah,PEJABAT PERTANIAN SABAH,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
"TENDER PEMBEKALAN 10 UNIT ULTRA LOW TEMPERATURE FREEZER -80°C (UPRIGHT), 1 UNIT LOW TEMPERATURE FREEZER -20°C (UPRIGHT), 
3 UNIT LOW TEMPERATURE FREEZER -30°C TO -40°C (CHEST), DAN 4 UNIT BLOOD REFRIGERATOR 2-6°C DI PUSAT DARAH NEGARA BAGI TAHUN 2022",PUSAT DARAH NEGARA PEJABAT PENGARAH UNIT PENTADBIRAN,09/07/2022 12:00 PM,01/08/2022 12:00 PM,20,Tidak,ui-button
MEMBEKAL DAN MENGHANTAR BAKUL MAKANAN PROGRAM PEMULIHAN KANAK -KANAK KEKURANGAN ZAT MAKANAN KE KLINIK KESIHATAN / KLINIK DESA DI BAWAH PEJABAT KESIHATAN KAWASAN KOTA KINABALU BAGI TEMPOH TIGA (3) TAHUN,JKN SABAH PEJ KES KAW K.KINABALU UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
"SEBUT HARGA MEMBEKAL, MENGHANTAR DAN MEMASANG PERABOT KE FASILITI PEJABAT KESIHATAN KAWASAN PENAMPANG BAGI TAHUN 2022",JKN SABAH PEJ KES KAW PENAMPANG UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN,09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJITAULIAH LIMA (5) UNIT 'QUEUE MANAGEMENT SYSTEM' (QMS) DI FASILITI PEJABAT KESIHATAN KAWASAN PENAMPANG",JKN SABAH PEJ KES KAW PENAMPANG UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJITAULIAH SEMBILAN (9) UNIT FINGERPRINT ATTENDANCE MACHINE DI FASILITI PEJABAT KESIHATAN KAWASAN PENAMPANG",JKN SABAH PEJ KES KAW PENAMPANG UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN,09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
"SEBUTHARGA PERKHIDMATAN MERANGKA, MENULIS, MEREKA BENTUK, MENERBITKAN DAN MENCETAK BUKU GEOTAPAK LENGGONG GEOPARK",JABATAN & GEOSAINS NEGERI PERAK,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
KURSUS PENINGKATAN KEMHIRAN: PRINCIPLES OF METALLURGY UNTUK TENAGA PENGAJAR KOLEJ VOKASIONAL PROGRAM TEKNOLOGI KIMPALAN TAHUN 2022,KOLEJ VOKASIONAL BATU PAHAT,09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
PEMBAIKAN SELENGGARAAN UNDERWATER HULL SERTA PERALATAN SOKONGAN RUTIN AMP BOT HIDROGRAFI 2 - SH/BB2/REQ/H/16/22-4,MARKAS WILAYAH LAUT 2,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
Sebut Harga Perkhidmatan Penyewaan Dan Selenggara 2 Unit Mesin Penyalin Di Kem Wawasan Negara Besut Dan Pejabat PTJ Besut Bagi Tempoh 36 Bulan,INSTITUT PEMBANGUNAN KECEMERLANGAN KEPIMPINAN / INSTITUTE OF LEADERSHIP EXCELLENCE AND DEVELOPMENT,09/07/2022 12:00 PM,18/07/2022 12:00 PM,06,Tidak,ui-button
Sebut Harga Perkhidmatan Penyewaan Dan Selenggara 2 Unit Mesin Penyalin Di Kem Wawasan Negara Ulu Kenas Dan Pejabat PTJ Ulu Kenas Bagi Tempoh 36 Bulan,INSTITUT PEMBANGUNAN KECEMERLANGAN KEPIMPINAN / INSTITUTE OF LEADERSHIP EXCELLENCE AND DEVELOPMENT,09/07/2022 12:00 PM,18/07/2022 12:00 PM,06,Tidak,ui-button
PEMBAIKAN UNDERWATER HULL PLATING DETERIORATED NO SH 047/22 KD GANYANG,MARKAS WILAYAH LAUT 1 (MWL 1),09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
PEMBAIKAN ACU PORT - OVERHAUL NO SH 058/22 KD GEMPITA,MARKAS WILAYAH LAUT 1 (MWL 1),09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON PEKAN, PAHANG",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"SEBUT HARGA MEMBEKAL DAN MENGHANTAR BEKALAN PEJABAT KE BAHAGIAN PEMBANGUNAN KURIKULUM, KEMENTERIAN PENDIDIKAN MALAYSIA  BAGI TAHUN 2022",BAHAGIAN PEMBANGUNAN KURIKULUM,09/07/2022 12:00 PM,31/07/2022 12:00 PM,19,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON PULAU MANTANANI, SABAH",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PROGRAM PENGEDARAN BARANG PERLU, LPG DAN COMMUNITY DRUMMING (PROGRAM PENYERAGAMAN HARGA) DI ZON RANI, SABAH",KHIDMAT PENGURUSAN DAN KEWANGAN,09/07/2022 12:00 PM,05/08/2022 12:00 PM,24,Tidak,ui-button
"PEROLEHAN PERALATAN PEJABAT, BEKALAN AM BAGI PASUKAN DI BAWAH NAUNGAN MK 8 BGD PENGGAL KEDUA TAHUN 2022",MARKAS 8 BRIGED,09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
"PERKHIDMATAN PENYEDIAAN KELENGKAPAN EKSPEDISI, MAKAN MINUM SERTA KERJA-KERJA BERKAITAN BAGI EKSPEDISI SAINTIFIK KEPELBAGAIAN BIOLOGI HUTAN DI ULU CHEKA, JERANTUT, PAHANG",JABATAN PERHUTANAN NEGERI PAHANG,09/07/2022 12:00 PM,22/07/2022 12:00 PM,10,Ya,ui-button
"PROGRAM PENJANA KPT-CAP FASA 3 - PERKHIDMATAN LATIHAN BAGI PROGRAM KNX INTERNATIONAL PARTNER CERTIFICATE COURSE DI POLITEKNIK KOTA KINABALU, SABAH",POLITEKNIK KOTA KINABALU,09/07/2022 12:00 PM,18/07/2022 12:00 PM,06,Tidak,ui-button
"PERKHIDMATAN PEMBERSIHAN BANGUNAN DAN PENTELENGGARAAN LANSKAP MENARA B, IPK KUALA LUMPUR.",BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTIJEN KUALA LUMPUR,09/07/2022 12:00 PM,20/07/2022 12:00 PM,08,Ya,ui-button
PERKHIDMATAN PEMBERSIHAN BANGUNAN DAN PENYELENGGARAAN LANDSKAP JABATAN SIASATAN PENGUATKUASA TRAFIK DAN ILU.,BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTIJEN KUALA LUMPUR,09/07/2022 12:00 PM,20/07/2022 12:00 PM,08,Ya,ui-button
PERKHIDMATAN PEMBERSIHAN BANGUNAN DAN PENYELENGGARAAN LANDSKAP IPD SENTUL.,BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTIJEN KUALA LUMPUR,09/07/2022 12:00 PM,20/07/2022 12:00 PM,08,Ya,ui-button
"PERKHIDMATAN PEMBERSIHAN BANGUNAN DAN PENYELENGGARAAN LANDSKAP  BALAI POLIS JINJANG & KUARTERS, BALAI POLIS KEPONG & KUARTERS, BENGKEL PENGANGKUTAN DAN LOKAP BERPUSAT JINJANG.",BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTIJEN KUALA LUMPUR,09/07/2022 12:00 PM,20/07/2022 12:00 PM,08,Ya,ui-button
"SEBUT HARGA KALI KEDUA BAGI PENYELENGGARAAN MESIN LATIHAN DI INSTITUT LATIHAN PERINDUSTRIAN (ILP) PASIR GUDANG, JABATAN TENAGA MANUSIA, KEMENTERIAN SUMBER MANUSIA",INSTITUT LATIHAN PERINDUSTRIAN PASIR GUDANG,09/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Ya,ui-button
"PROGRAM PENJANA KPT-CAP FASA 3 - PERKHIDMATAN LATIHAN BAGI PROGRAM CERTIFIED WELDING INSPECTOR DI JABATAN KEJURUTERAAN MEKANIKAL, POLITEKNIK KOTA KINABALU",POLITEKNIK KOTA KINABALU,09/07/2022 12:00 PM,18/07/2022 12:00 PM,06,Tidak,ui-button
"SEBUTHARGA MEMBEKAL KELENGKAPAN PENGEMBANGAN UNTUK PELBAGAI PROJEK PEMBANGUNAN PERTANIAN KE PEJABAT IADA KALAKA SARIBAS BETONG, SARATOK, SARAWAK TAHUN 2022",PEJABAT PROJEK KALAKA/SARIBAS - IBU PEJABAT,09/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
SEBUTHARGA PERKHIDMATAN BEKALAN MAKANAN BERMASAK (BMB) KE ASRAMA SK SG KLAMPAI DI BAWAH SELIAAN PPD SARATOK MULAI OGOS 2022 SEHINGGA OGOS 2024,PEJABAT PENDIDIKAN DAERAH SARATOK,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
SEBUTHARGA PERKHIDMATAN BEKALAN MAKANAN BERMASAK (BMB) KE ASRAMA SK SUPOK DI BAWAH SELIAAN PPD SARATOK MULAI OGOS 2022 SEHINGGA OGOS 2024,PEJABAT PENDIDIKAN DAERAH SARATOK,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
PERKHIDMATAN PENGUKURAN HIDROGRAFI DI PERAIRAN BATUAN TENGAH DAN ABU BAKAR MARITIME BASE,PUSAT HIDROGRAFI NASIONAL,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
PERKHIDMATAN SEWAAN GENSET BG MELAKSANAKAN KERJA2 BAIK PULIH PENCAWANG & CABLE ELEKTRIK YG RSK AKIBAT DIHEMPAP POKOK,MARKAS 5 DIVISYEN,09/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Tidak,ui-button
PEMBEKALAN DAN PENGHANTARAN KAIN HITAM (BLACK) DAN KELABU CERAH (LIGHT GREY) BAGI TEMPOH DUA (2) TAHUN UNTUK JABATAN IMIGRENSEN MALAYSIA (JIM),BAHAGIAN PEROLEHAN,08/07/2022 12:00 PM,22/08/2022 12:00 PM,41,Tidak,ui-button
"PEMBEKALAN DAN PENGHANTARAN BUT TAKTIKAL PENGUATKUASA, KASUT TUGAS AM PEGAWAI KANAN LELAKI, KASUT TUGAS AM LELAKI DAN KASUT TUGAS AM WANITA BAGI TEMPOH DUA (2) TAHUN UNTUK JABATAN IMIGRESEN MALAYSIA (JIM)",BAHAGIAN PEROLEHAN,08/07/2022 12:00 PM,22/08/2022 12:00 PM,41,Tidak,ui-button
PERKHIDMATAN PEMBANGUNAN SEMULA SISTEM PENGAMBILAN BAGI ANGGOTA PERKHIDMATAN PENDIDIKAN (MYSPP) DI SURUHANJAYA PERKHIDMATAN PENDIDIKAN,SURUHANJAYA PERKHIDMATAN PENDIDIKAN IBU PEJABAT,08/07/2022 12:00 PM,15/07/2022 12:00 PM,3,Tidak,ui-button
